modality,feature_set,model,primary_metric_name,primary_metric,MAcc,Se,Sp,macro_f1,accuracy,n_train,n_test,cm_figure,train_time_s,n_train_segments,n_test_segments,n_train_recordings,n_test_recordings,n_train_patients,n_test_patients,params,cm_figure_path,best_val_score,epochs_ran,lr,curve_png,learning_curve_png,ckpt_path,seed,gpu_id,elapsed_s,ICBHI_Score,se_crackle,se_wheeze,se_both,se_normal
heart,log_mel_64x128,cnn,MAcc,0.878318858560794,0.878318858560794,0.9461538461538461,0.8104838709677419,0.7986657538172497,0.8386581469648562,33246,626,cm_heart_log_mel_64x128_cnn.png,297.5722541771829,33246,4167,2500,626,2500,626,389314,/root/dsba_project/results/figures/heart_cnn/cm_heart_log_mel_64x128_cnn.png,0.942457021440989,25,0.0010252407305556875,/root/dsba_project/results/figures/heart_cnn/learning_curve_heart_cnn.png,/root/dsba_project/results/figures/heart_cnn/learning_curve_heart_cnn.png,/root/dsba_project/results/figures/heart_cnn/ckpt_heart_cnn.pt,42,0,305.1,,,,,
heart,log_mel_64x128,cnn,MAcc,0.8615849875930521,0.8615849875930521,0.8461538461538461,0.8770161290322581,0.8228617541947452,0.8706070287539937,33246,626,cm_heart_log_mel_64x128_cnn.png,274.2809176594019,33246,4167,2500,626,2500,626,389314,/root/dsba_project/results/figures/heart_cnn/cm_heart_log_mel_64x128_cnn.png,0.9361067468074611,23,0.0010252407305556875,/root/dsba_project/results/figures/heart_cnn/learning_curve_heart_cnn.png,/root/dsba_project/results/figures/heart_cnn/learning_curve_heart_cnn.png,/root/dsba_project/results/figures/heart_cnn/ckpt_heart_cnn.pt,1,1,281.7,,,,,
heart,log_mel_64x128,cnn,MAcc,0.8724565756823821,0.8724565756823821,0.9384615384615385,0.8064516129032258,0.7930525887498729,0.8338658146964856,33246,626,cm_heart_log_mel_64x128_cnn.png,215.10508450120687,33246,4167,2500,626,2500,626,389314,/root/dsba_project/results/figures/heart_cnn/cm_heart_log_mel_64x128_cnn.png,0.949092447824217,18,0.0010252407305556875,/root/dsba_project/results/figures/heart_cnn/learning_curve_heart_cnn.png,/root/dsba_project/results/figures/heart_cnn/learning_curve_heart_cnn.png,/root/dsba_project/results/figures/heart_cnn/ckpt_heart_cnn.pt,2,2,222.5,,,,,
heart,log_mel_64x128,effnet_b0,MAcc,0.8895161290322581,0.8895161290322581,0.9,0.8790322580645161,0.8424831532323389,0.8833865814696485,33246,626,cm_heart_log_mel_64x128_effnet_b0.png,1455.6467489935458,33246,4167,2500,626,2500,626,4010110,/root/dsba_project/results/figures/heart_effnet_b0/cm_heart_log_mel_64x128_effnet_b0.png,0.9466786856394738,21,0.0001574561092241905,/root/dsba_project/results/figures/heart_effnet_b0/learning_curve_heart_effnet_b0.png,/root/dsba_project/results/figures/heart_effnet_b0/learning_curve_heart_effnet_b0.png,/root/dsba_project/results/figures/heart_effnet_b0/ckpt_heart_effnet_b0.pt,42,3,1468.3,,,,,
heart,log_mel_64x128,effnet_b0,MAcc,0.9004962779156327,0.9004962779156327,0.9461538461538461,0.8548387096774194,0.8358509667247531,0.8738019169329073,33246,626,cm_heart_log_mel_64x128_effnet_b0.png,920.9775698259473,33246,4167,2500,626,2500,626,4010110,/root/dsba_project/results/figures/heart_effnet_b0/cm_heart_log_mel_64x128_effnet_b0.png,0.9379702029705683,13,0.0001574561092241905,/root/dsba_project/results/figures/heart_effnet_b0/learning_curve_heart_effnet_b0.png,/root/dsba_project/results/figures/heart_effnet_b0/learning_curve_heart_effnet_b0.png,/root/dsba_project/results/figures/heart_effnet_b0/ckpt_heart_effnet_b0.pt,1,0,933.2,,,,,
heart,log_mel_64x128,effnet_b0,MAcc,0.9041563275434243,0.9041563275434243,0.9615384615384616,0.8467741935483871,0.8336695631636439,0.8706070287539937,33246,626,cm_heart_log_mel_64x128_effnet_b0.png,1659.3379847221076,33246,4167,2500,626,2500,626,4010110,/root/dsba_project/results/figures/heart_effnet_b0/cm_heart_log_mel_64x128_effnet_b0.png,0.9505545721462019,24,0.0001574561092241905,/root/dsba_project/results/figures/heart_effnet_b0/learning_curve_heart_effnet_b0.png,/root/dsba_project/results/figures/heart_effnet_b0/learning_curve_heart_effnet_b0.png,/root/dsba_project/results/figures/heart_effnet_b0/ckpt_heart_effnet_b0.pt,2,1,1671.8,,,,,
lung,log_mel_64x128,cnn,ICBHI_Score,0.5604994757411115,,0.70817843866171,0.4128205128205128,0.3237532765353637,0.4222306525037936,4262,2636,cm_lung_log_mel_64x128_cnn.png,27.932572577148676,4262,2636,551,369,79,47,98148,/root/dsba_project/results/figures/lung_cnn/cm_lung_log_mel_64x128_cnn.png,0.6619420351174106,17,0.0024876326077781993,/root/dsba_project/results/figures/lung_cnn/learning_curve_lung_cnn.png,/root/dsba_project/results/figures/lung_cnn/learning_curve_lung_cnn.png,/root/dsba_project/results/figures/lung_cnn/ckpt_lung_cnn.pt,42,2,34.0,0.5604994757411115,0.4651539708265802,0.4691689008042895,0.08139534883720931,0.4128205128205128
lung,log_mel_64x128,cnn,ICBHI_Score,0.5163830902678487,,0.6737918215613383,0.358974358974359,0.2994678750645192,0.38467374810318666,4262,2636,cm_lung_log_mel_64x128_cnn.png,26.28136944025755,4262,2636,551,369,79,47,98148,/root/dsba_project/results/figures/lung_cnn/cm_lung_log_mel_64x128_cnn.png,0.6323843984232815,16,0.0024876326077781993,/root/dsba_project/results/figures/lung_cnn/learning_curve_lung_cnn.png,/root/dsba_project/results/figures/lung_cnn/learning_curve_lung_cnn.png,/root/dsba_project/results/figures/lung_cnn/ckpt_lung_cnn.pt,1,3,32.4,0.5163830902678487,0.49108589951377635,0.38337801608579086,0.09302325581395349,0.358974358974359
lung,log_mel_64x128,cnn,ICBHI_Score,0.5436934038699838,,0.8828996282527881,0.20448717948717948,0.2788237167663813,0.33611532625189683,4262,2636,cm_lung_log_mel_64x128_cnn.png,22.726311899721622,4262,2636,551,369,79,47,98148,/root/dsba_project/results/figures/lung_cnn/cm_lung_log_mel_64x128_cnn.png,0.6791673739602784,15,0.0024876326077781993,/root/dsba_project/results/figures/lung_cnn/learning_curve_lung_cnn.png,/root/dsba_project/results/figures/lung_cnn/learning_curve_lung_cnn.png,/root/dsba_project/results/figures/lung_cnn/ckpt_lung_cnn.pt,2,0,28.8,0.5436934038699838,0.5672609400324149,0.5630026809651475,0.08139534883720931,0.20448717948717948
lung,log_mel_64x128,effnet_b0,ICBHI_Score,0.5392050328853303,,0.40148698884758366,0.676923076923077,0.3095917475178138,0.5049317147192717,4262,2636,cm_lung_log_mel_64x128_effnet_b0.png,336.5921189971268,4262,2636,551,369,79,47,4012672,/root/dsba_project/results/figures/lung_effnet_b0/cm_lung_log_mel_64x128_effnet_b0.png,0.6606198434525068,29,0.00012009864809096613,/root/dsba_project/results/figures/lung_effnet_b0/learning_curve_lung_effnet_b0.png,/root/dsba_project/results/figures/lung_effnet_b0/learning_curve_lung_effnet_b0.png,/root/dsba_project/results/figures/lung_effnet_b0/ckpt_lung_effnet_b0.pt,42,1,346.8,0.5392050328853303,0.3387358184764992,0.16621983914209115,0.046511627906976744,0.676923076923077
lung,log_mel_64x128,effnet_b0,ICBHI_Score,0.5709298446287294,,0.4944237918215613,0.6474358974358975,0.3309088188784506,0.5121396054628224,4262,2636,cm_lung_log_mel_64x128_effnet_b0.png,180.9632629007101,4262,2636,551,369,79,47,4012672,/root/dsba_project/results/figures/lung_effnet_b0/cm_lung_log_mel_64x128_effnet_b0.png,0.6321277935430449,16,0.00012009864809096613,/root/dsba_project/results/figures/lung_effnet_b0/learning_curve_lung_effnet_b0.png,/root/dsba_project/results/figures/lung_effnet_b0/learning_curve_lung_effnet_b0.png,/root/dsba_project/results/figures/lung_effnet_b0/ckpt_lung_effnet_b0.pt,1,2,190.9,0.5709298446287294,0.4035656401944895,0.2359249329758713,0.03488372093023256,0.6474358974358975
lung,log_mel_64x128,effnet_b0,ICBHI_Score,0.5554082070346011,,0.6319702602230484,0.47884615384615387,0.2853811341324979,0.40250379362670713,4262,2636,cm_lung_log_mel_64x128_effnet_b0.png,95.7631458491087,4262,2636,551,369,79,47,4012672,/root/dsba_project/results/figures/lung_effnet_b0/cm_lung_log_mel_64x128_effnet_b0.png,0.6375021218808352,8,0.00012009864809096613,/root/dsba_project/results/figures/lung_effnet_b0/learning_curve_lung_effnet_b0.png,/root/dsba_project/results/figures/lung_effnet_b0/learning_curve_lung_effnet_b0.png,/root/dsba_project/results/figures/lung_effnet_b0/ckpt_lung_effnet_b0.pt,2,3,105.7,0.5554082070346011,0.3192868719611021,0.2949061662198391,0.08139534883720931,0.47884615384615387
